file,source,sr,dur_s,speech_frac,vad_items,flat_top,hard_flat,dc,head_rms,tail_rms
skpro_00.mp3,hall,16000,78.46,0.867,27,0.0,0.0,-0.0,-83.9,-83.8
skpro_01.mp3,hall,16000,1001.34,0.846,668,0.0,0.0,-0.0,-84.1,-83.8
skpro_02.mp3,hall,16000,1237.25,0.786,946,0.0,0.0,-0.0,-83.3,-84.1
skpro_03.mp3,hall,16000,297.03,0.771,184,0.0,0.0,-0.0,-84.5,-83.7
skpro_04.mp3,hall,16000,67.45,0.768,33,0.0,0.0,0.0,-83.7,-83.9
adas_fem.mp3,loyola,44100,13.17,0.92,11,0.0,0.0,-0.0,-52.8,-32.2
adas_masc_pronoun.mp3,loyola,44100,20.84,0.857,10,0.0,0.0,-0.0,-54.9,-55.4
deva_masc.mp3,loyola,44100,180.23,0.829,201,0.0,0.0,-0.0,-49.2,-40.3
dhatr_masc.mp3,loyola,44100,148.47,0.794,256,0.0,0.0,-0.0,-48.2,-46.2
dhenu_fem.mp3,loyola,44100,113.91,0.692,178,0.0,0.0,-0.0,-33.9,-49.5
dosa_masc.mp3,loyola,44100,125.06,0.86,134,0.0,0.0,-0.0,-43.0,-41.8
etad_fem.mp3,loyola,44100,28.0,0.927,13,0.0,0.0,-0.0,-36.4,-49.4
etad_neut_pronoun.mp3,loyola,44100,27.32,0.89,16,0.0,0.0,-0.0,-49.6,-55.7
etat_masc_pronoun.mp3,loyola,44100,27.84,0.889,14,0.0,0.0,-0.0,-54.9,-37.6
gauri_fem.mp3,loyola,44100,133.5,0.703,207,0.0,0.0,-0.0,-47.2,-49.6
guru_masc.mp3,loyola,44100,133.0,0.737,200,0.0,0.0,-0.0,-26.4,-45.4
hari_masc.mp3,loyola,44100,175.76,0.836,231,0.0,0.0,-0.0,-46.4,-50.0
idam_fem.mp3,loyola,44100,24.58,0.899,12,0.0,0.0,-0.0,-55.9,-55.3
idam_masc_pronoun.mp3,loyola,44100,25.13,0.842,16,0.0,0.0,-0.0,-51.6,-53.2
idam_neut_pronoun.mp3,loyola,44100,24.79,0.809,49,0.0,0.0,-0.0,-48.2,-41.2
kartr_neut.mp3,loyola,44100,33.36,0.846,46,0.0,0.0,-0.0,-52.2,-50.6
katara_neut.mp3,loyola,44100,24.71,0.898,17,0.0,0.0,-0.0,-53.9,-58.1
kim_fem.mp3,loyola,44100,18.55,0.913,10,0.0,0.0,-0.0,-56.5,-53.3
kim_masc_interog.mp3,loyola,44100,19.04,0.853,9,0.0,0.0,-0.0,-52.5,-53.0
