file,split,category,sr,dur_s,speech_frac,flat_top,hard_flat,dc,head_rms,tail_rms
Atharvaveda_Kanda_10_0263.wav,train,stratified,16000,6.296,0.99,0.0,0.0,0.0001,-15.0,-32.1
Atharvaveda_Kanda_10_0595.wav,train,48k,48000,5.367,1.0,0.0,0.0,0.0001,-12.9,-13.0
Atharvaveda_Kanda_11_0432.wav,train,stratified,16000,5.085,1.0,0.0,0.0,0.0063,-9.6,-31.2
Atharvaveda_Kanda_11_0500.wav,train,stratified,16000,10.249,0.991,0.0,0.0,0.0064,-10.8,-28.2
Atharvaveda_Kanda_11_0594.wav,train,48k,48000,5.567,0.989,0.0,0.0,0.0057,-14.5,-10.3
Atharvaveda_Kanda_12_0014.wav,test,stratified,16000,18.771,1.0,0.0,0.0,0.0058,-12.7,-22.4
Atharvaveda_Kanda_12_0038.wav,train,clipped,16000,4.831,1.0,4e-05,0.0,0.0058,-10.9,-21.7
Atharvaveda_Kanda_12_0040.wav,train,stratified,16000,5.002,1.0,0.0,0.0,0.0057,-11.7,-24.7
Atharvaveda_Kanda_12_0124.wav,train,stratified,16000,6.36,1.0,0.0,0.0,0.0058,-11.1,-22.1
Atharvaveda_Kanda_13_0162.wav,validation,stratified,16000,7.697,0.988,0.0,0.0,0.0051,-13.4,-29.9
Atharvaveda_Kanda_13_0213.wav,train,borderline,16000,6.199,1.0,1e-05,0.0,0.0047,-12.9,-26.8
Atharvaveda_Kanda_13_0250.wav,validation,stratified,16000,5.256,0.989,0.0,0.0,0.0047,-10.7,-26.2
Atharvaveda_Kanda_2_0028.wav,test,stratified,16000,4.492,0.96,0.0,0.0,0.0001,-14.7,-45.7
Atharvaveda_Kanda_3_0191.wav,test,stratified,16000,4.679,0.948,0.0,0.0,0.0001,-16.6,-40.1
Atharvaveda_Kanda_4_0035.wav,test,stratified,16000,4.16,0.957,0.0,0.0,0.0001,-15.9,-36.0
Atharvaveda_Kanda_4_0063.wav,validation,stratified,16000,4.425,0.932,0.0,0.0,0.0001,-20.7,-34.7
Atharvaveda_Kanda_4_0455.wav,validation,stratified,16000,5.677,0.963,0.0,0.0,0.0001,-12.4,-36.0
Atharvaveda_Kanda_4_0484.wav,validation,stratified,16000,4.283,0.993,0.0,0.0,0.0001,-13.7,-30.2
Atharvaveda_Kanda_5_0072.wav,train,stratified,16000,5.276,0.983,0.0,0.0,0.0001,-16.0,-32.8
Atharvaveda_Kanda_5_0338.wav,train,stratified,16000,4.119,0.978,0.0,0.0,0.0001,-16.8,-31.5
Atharvaveda_Kanda_6_0035.wav,validation,stratified,16000,4.779,1.0,0.0,0.0,0.0001,-13.8,-25.8
Atharvaveda_Kanda_6_0045.wav,train,stratified,16000,6.717,1.0,0.0,0.0,0.0001,-15.2,-22.8
