file,bytes,sr,ch,dur_s,rms_db,segments,peak,sha16,status
adas_fem.mp3,422098,44100,2,13.2,-39.4,1,0.176,d620f6da7b095a5c,ok
adas_masc_pronoun.mp3,667063,44100,2,20.8,-38.4,1,0.165,509875cf631caabd,ok
deva_masc.mp3,2883918,44100,2,180.2,-36.5,1,0.23,2eab1be462e1fc9e,ok
dhatr_masc.mp3,2375680,44100,2,148.5,-36.3,1,0.325,4f683dc3ad5d227e,ok
dhenu_fem.mp3,1822720,44100,2,113.9,-42.4,1,0.175,6b62ac13c7ba02f2,ok
dosa_masc.mp3,2001189,44100,2,125.1,-36.7,1,0.387,1cbb774743a851eb,ok
etad_fem.mp3,448052,44100,2,28.0,-37.8,1,0.191,485a73463c51dd6a,ok
etad_neut_pronoun.mp3,437185,44100,2,27.3,-39.4,1,0.167,057d70d225f44c0d,ok
etat_masc_pronoun.mp3,445544,44100,2,27.8,-38.8,1,0.094,4ddfd77b3be231a6,ok
gauri_fem.mp3,2136189,44100,2,133.5,-38.8,1,0.261,a9c9aa563f2f0579,ok
guru_masc.mp3,2128248,44100,2,133.0,-35.7,1,0.352,715bf7ca03e7d629,ok
hari_masc.mp3,2812447,44100,2,175.8,-35.8,1,0.369,c1023d55865067cc,ok
idam_fem.mp3,393300,44100,2,24.6,-38.6,1,0.14,39d98010d7ef8e7e,ok
idam_masc_pronoun.mp3,402077,44100,2,25.1,-38.7,1,0.145,de91bcbfaab17e19,ok
idam_neut_pronoun.mp3,396643,44100,2,24.8,-41.0,1,0.122,b88040f60ac654fa,ok
kartr_neut.mp3,533734,44100,2,33.4,-40.0,1,0.18,1e43441c0a1005b5,ok
katara_neut.mp3,395389,44100,2,24.7,-38.9,1,0.156,b3bee352b06a40ac,ok
kim_fem.mp3,296751,44100,2,18.5,-37.5,1,0.211,136a744c37652ab1,ok
kim_masc_interog.mp3,304692,44100,2,19.0,-37.4,1,0.236,4a18a39c4347ad54,ok
kim_neut_interog.mp3,267076,44100,2,16.7,-41.7,1,0.173,1e8512776e391845,ok
lakshmi_fem.mp3,1595350,44100,2,99.7,-39.5,1,0.222,a7dee193ec01e4c5,ok
madhu_neut.mp3,411690,44100,2,25.7,-38.8,1,0.19,1e53a3f85bc58faa,ok
mati_fem.mp3,1584065,44100,2,99.0,-39.9,1,0.216,d27daa9b20f60a0b,ok
matr_fem.mp3,1511340,44100,2,94.4,-42.9,1,0.169,97dc5fd7bd1d2458,ok
mrdu_neut.mp3,468950,44100,2,29.3,-38.9,1,0.233,cdf3da15b1891f86,ok
noun1_deva.mp3,7206452,44100,2,225.2,-52.0,1,0.047,423feff46ca782ec,ok
noun2_rama.mp3,2664908,44100,2,83.3,-50.8,1,0.054,14648b53ebda7fe9,ok
noun3_kanyaa.mp3,5345698,44100,2,167.0,-51.2,1,0.045,e38cad352126b55b,ok
noun4_phala.mp3,3039399,44100,2,95.0,-49.5,1,0.071,aadffd49e3356952,ok
noun5_nadii.mp3,4822413,44100,2,150.7,-51.8,1,0.059,290a0625085a4223,ok
noun6_vaari.mp3,941244,44100,2,29.4,-47.4,1,0.089,ba9ebfbb7adf979e,ok
noun7_dhii.mp3,1130998,44100,2,35.3,-49.1,1,0.052,31577b0afdd56965,ok
noun8_strii.mp3,792451,44100,2,24.8,-49.3,1,0.049,6dc7e70aafa78613,ok
noun9_bhaanu.mp3,1071647,44100,2,33.5,-49.2,1,0.051,539937a32a2995c9,ok
phala_neut.mp3,484415,44100,2,30.3,-39.5,1,0.187,e158d498c1b842fc,ok
pitr_masc.mp3,1728261,44100,2,108.0,-36.5,1,0.372,20847db4f05fa106,ok
purva_masc_pronoun.mp3,489848,44100,2,30.6,-39.0,1,0.164,48407a563d89b7d9,ok
